file_path,invalid_label,question,gold_answer,sparql,result,answer,explanation,formatted
SimpleQA/CompMix_table_simple_qa/timing_summary.json,null_output,,,,,,,
SimpleQA/NQ_table_test_simple/timing_summary.json,null_output,,,,,,,
ComplexQA/CompMix_infobox_complex/00000.json,empty_sparql_result,"Where is the location of the photo on the album cover, where the 4 members of the Beatles walk across the road",Abbey Road,"SELECT ?locationLabel WHERE {
  wd:Q173643 wdt:P1550 ?location .
  ?location rdfs:label ?locationLabel .
  FILTER(langMatches(lang(?locationLabel) , ""en""))
}",Got no rows and 1 columns,"Abbey Road, London, UK",,"Abbey Road, London, UK

SPARQL query over wikidata:
```sparql
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX wd: <http://www.wikidata.org/entity/>
SELECT ?locationLabel WHERE {
  wd:Q173643 wdt:P1550 ?location .
  ?location rdfs:label ?locationLabel .
  FILTER(langMatches(lang(?locationLabel) , ""en""))
}
```

Using entities:
- Abbey Road (wd:Q173643):
  - 1969 studio album by the Beatles
  - is instance of album

Using properties:
- Orphanet ID (wd:P1550 as wdt), also known as ""ORPHA"":
  - identifier in the Orpha.net database (without ORPHA prefix)

Execution result:
Got no rows and 1 columns"
ComplexQA/CompMix_infobox_complex/00002.json,sparql_execution_failed (preprocessing),"How many goals did Ellen White, Alex Morgan, and Megan Rapinoe each score at the 2019 FIFA Women's World Cup",6,"SELECT ?player ?goals
WHERE {
  VALUES ?player { wd:Q10911 wd:Q233510 wd:Q260725 }
  ?player p:P1326 ?statement.
  ?statement pq:P1453 wd:Q4630361.
  ?statement ps:P1326 ?goals.","Error executing SPARQL query over wikidata:
failed to parse input: parse error at position 178 for token EOF with content '' (the input most likely does not follow the grammar)","Ellen White scored 9 goals, Alex Morgan scored 5 goals, and Megan Rapinoe scored 3 goals.",,"Ellen White scored 9 goals, Alex Morgan scored 5 goals, and Megan Rapinoe scored 3 goals.

SPARQL query over wikidata:
```sparql
SELECT ?player ?goals
WHERE {
  VALUES ?player { wd:Q10911 wd:Q233510 wd:Q260725 }
  ?player p:P1326 ?statement.
  ?statement pq:P1453 wd:Q4630361.
  ?statement ps:P1326 ?goals.

```

Execution result:
Error executing SPARQL query over wikidata:
failed to parse input: parse error at position 178 for token EOF with content '' (the input most likely does not follow the grammar)"
ComplexQA/CompMix_infobox_complex/00006.json,empty_sparql_result,What is the name of the film in the Bridget Jones series that was not directed by Sharon Maguire,Bridget Jones: The Edge of Reason,"SELECT ?film ?filmLabel WHERE {
  wd:Q27657001 p:P1545 ?seriesStatement .
  ?seriesStatement ps:P1545 ?film .
  ?film wdt:P161 ?director .
  FILTER(?director != wd:Q465442)
  ?film rdfs:label ?filmLabel .
  FILTER(LANGMATCHES(LANG(?filmLabel) , 'en'))
}",Got no rows and 2 columns,"<tool_call>
{""name"": ""execute"", ""arguments"": {""kg"": ""wikidata"", ""sparql"": ""SELECT ?film ?filmLabel WHERE {\n  wd:Q27657001 p:P1545 ?seriesStatement.\n  ?seriesStatement ps:P1545 ?film.\n  ?film wdt:P57 ?director.\n  FILTER(?director != wd:Q465442)\n  ?film rdfs:label ?filmLabel.\n  FILTER(LANGMATCHES(LANG(?filmLabel), 'en'))\n}""}}}
</tool_call>",,"<tool_call>
{""name"": ""execute"", ""arguments"": {""kg"": ""wikidata"", ""sparql"": ""SELECT ?film ?filmLabel WHERE {\n  wd:Q27657001 p:P1545 ?seriesStatement.\n  ?seriesStatement ps:P1545 ?film.\n  ?film wdt:P57 ?director.\n  FILTER(?director != wd:Q465442)\n  ?film rdfs:label ?filmLabel.\n  FILTER(LANGMATCHES(LANG(?filmLabel), 'en'))\n}""}}}
</tool_call>

SPARQL query over wikidata:
```sparql
PREFIX ps: <http://www.wikidata.org/prop/statement/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
PREFIX p: <http://www.wikidata.org/prop/>
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT ?film ?filmLabel WHERE {
  wd:Q27657001 p:P1545 ?seriesStatement .
  ?seriesStatement ps:P1545 ?film .
  ?film wdt:P161 ?director .
  FILTER(?director != wd:Q465442)
  ?film rdfs:label ?filmLabel .
  FILTER(LANGMATCHES(LANG(?filmLabel) , 'en'))
}
```

Using entities:
- Bridget Jones (wd:Q27657001):
  - film series
  - is instance of film series
- Robert Guillaume (wd:Q465442), also known as ""Robert P. Williams"", ""Robert Williams"":
  - American actor (1927-2017)
  - has occupation actor
  - has occupation comedian
  - has occupation motorman
  - has occupation postal worker
  - has occupation singer
  - has occupation television actor
  - has occupation videographer
  - has occupation voice actor
  - is instance of human

Using properties:
- series ordinal (wd:P1545 as p/ps), also known as ""index"", ""num."", ""number"", ""ordinal"", ""ordinal number"", etc.:
  - position of an item in its parent series (most frequently a ... ""ranking"" defined as a property for evaluating a quality)
- cast member (wd:P161 as wdt), also known as ""actor"", ""actress"", ""contestant of a play"", ""feat."", ""film starring"", etc.:
  - actor in the subject production [use ""character role"" (P453) ... ""recorded participant"" (P11108) for non-fiction productions]

Execution result:
Got no rows and 2 columns"
ComplexQA/CompMix_infobox_complex/00012.json,null_output,Which fighting video game franchise developed by Midway Games was adapted into a live action movie in 1995,Mortal Kombat,,,,,
ComplexQA/CompMix_infobox_complex/00013.json,null_output,What is the name of the political party that Clint Eastwood was affiliated to in the year 1970,Republican Party,,,,,
ComplexQA/CompMix_infobox_complex/00015.json,empty_sparql_result,What is the name of the renowned singer who was part of the bands Aerosmith and Chain Reaction,Steven Tyler,"SELECT ?singer WHERE {
  ?singer wdt:P302 wd:Q126826 ; wdt:P302 wd:Q2947637 .
}",Got no rows and 1 columns,There is no renowned singer who was part of both Aerosmith (wd:Q126826) and Chain Reaction (wd:Q2947637) according to Wikidata. The SPARQL query found no results matching this criteria.,,"There is no renowned singer who was part of both Aerosmith (wd:Q126826) and Chain Reaction (wd:Q2947637) according to Wikidata. The SPARQL query found no results matching this criteria.

SPARQL query over wikidata:
```sparql
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT ?singer WHERE {
  ?singer wdt:P302 wd:Q126826 ; wdt:P302 wd:Q2947637 .
}
```

Using entities:
- Aerosmith (wd:Q126826):
  - American hard rock band
  - is instance of musical group
  - is instance of rock band
- Chain Reaction (wd:Q2947637):
  - is instance of musical group
  - US musical group (formed in 1976)

Using other (non-indexed) items:
- wdt:P302

Execution result:
Got no rows and 1 columns"
ComplexQA/CompMix_infobox_complex/00016.json,null_output,What year did Tim Howard play his first game for the senior United Stated men's national soccer team,2002,,,,,
ComplexQA/CompMix_infobox_complex/00017.json,empty_sparql_result,What was the name of the dog that played the character of Lassie in the TV series Lassie,Pal,"SELECT ?dog WHERE {
  wd:Q941640 wdt:P161 ?dog .
}",Got no rows and 1 columns,Pal,,"Pal

SPARQL query over wikidata:
```sparql
PREFIX wd: <http://www.wikidata.org/entity/>
PREFIX wdt: <http://www.wikidata.org/prop/direct/>
SELECT ?dog WHERE {
  wd:Q941640 wdt:P161 ?dog .
}
```

Using entities:
- Lassie (wd:Q941640):
  - fictional female collie dog
  - is instance of fictional dog
  - is instance of film character
  - is instance of television character

Using properties:
- cast member (wd:P161 as wdt), also known as ""actor"", ""actress"", ""contestant of a play"", ""feat."", ""film starring"", etc.:
  - actor in the subject production [use ""character role"" (P453) ... ""recorded participant"" (P11108) for non-fiction productions]

Execution result:
Got no rows and 1 columns"
